rd,km,lat,lon
2,489,17.707,102.78
2,490,17.716,102.779
2,491,17.724,102.777
2,492,17.733,102.775
2,493,17.742,102.774
2,494,17.751,102.772
2,495,17.76,102.77
2,496,17.769,102.768
2,497,17.778,102.766
2,498,17.787,102.764
2,499,17.796,102.763
2,500,17.804,102.761
2,501,17.813,102.759
2,501,17.813,102.759
2,501,17.813,102.759
2,501,17.813,102.759
2,501,17.813,102.759
2,502,17.814,102.75
2,503,17.821,102.744
2,504,17.829,102.741
2,505,17.838,102.738
2,506,17.846,102.734
2,507,17.855,102.731
2,508,17.862,102.726
2,509,17.868,102.719
