rd,km,lat,lon
1,351,15.7271300129,100.040737589
1,352,15.7314343173,100.032495294
1,353,15.7357288807,100.024250861
1,354,15.7399503449,100.015964808
1,355,15.7456092064,100.008679393
1,356,15.7523584724,100.002284051
1,357,15.7591088962,99.9958877458
1,358,15.7658539067,99.9894860605
1,358,15.7658539067,99.9894860605
1,358,15.7658539067,99.9894860605
1,358,15.7658539067,99.9894860605
1,358,15.7658539067,99.9894860605
1,359,15.772566022,99.9830502703
1,360,15.7793395073,99.9766788599
1,361,15.7861432598,99.9703395245
1,362,15.792950231,99.9640041038
1,363,15.7997587963,99.9576712322
1,364,15.806574271,99.9513452954
1,365,15.813441073599998,99.9450753769
1,366,15.8212100283,99.9399945009
1,367,15.8292869359,99.9353860461
1,368,15.8373569414,99.9307650607
1,369,15.8454251747,99.9261416937
1,370,15.8534951964,99.921520731
1,371,15.8615626445,99.9168949426
1,372,15.8696293871,99.9122678915
1,373,15.8776833706,99.9076190061
1,374,15.8857510819,99.9029936229
1,375,15.8938320181,99.8983915417
1,376,15.901883541199998,99.8937385412
1,377,15.9094811553,99.8883871899
1,378,15.9166465284,99.8824605763
1,379,15.9237078783,99.8764107883
1,380,15.9306332789,99.8702060124
1,381,15.9375422477,99.8639811697
1,382,15.944399093,99.8577040328
1,383,15.9512409922,99.851405727
1,384,15.9580892368,99.845114291
1,385,15.9648193632,99.8387065925
1,386,15.9715516079,99.8322911154
1,387,15.9781658974,99.8259817594
1,388,15.9847037744,99.8196420064
1,389,15.9911590114,99.8132180218
1,390,15.997574879,99.8067554307
1,391,16.0039985349,99.8003024892
1,392,16.0103395974,99.7937669887
1,393,16.0166750417,99.7872255515
1,394,16.0229434376,99.7806187772
1,395,16.0291934678,99.7739946007
1,396,16.0354385952,99.7673664438
1,397,16.0416486803,99.7607065304
1,398,16.0477885527,99.7539815172
1,399,16.053949621300003,99.7472757452
1,400,16.0600963795,99.740556731
1,401,16.0668913613,99.7346090513
1,402,16.0752828983,99.7310704927
1,403,16.0836811414,99.7275474147
1,404,16.092078408800003,99.7240219658
1,405,16.1004605163,99.7204618576
1,406,16.1092971036,99.7190635362
1,406,16.1092971036,99.7190635362
1,407,16.1183931904,99.7195135995
1,408,16.1274897253,99.7199553163
1,409,16.1365859733,99.7204013834
1,410,16.1456834737,99.7208236551
1,411,16.1547816886,99.7212143836
1,412,16.163695731500002,99.7198353668
1,412,16.163695731500002,99.7198353668
1,413,16.172312411500002,99.7168870358
1,414,16.1809283931,99.7139361637
1,415,16.1895474781,99.7109943853
1,416,16.1981701036,99.7080629296
1,417,16.2067826296,99.705104437
1,417,16.2067826296,99.705104437
1,418,16.215401340499998,99.7021638295
1,419,16.224012391400002,99.6992004542
1,420,16.2326319009,99.6962600549
1,421,16.241261860199998,99.6933511752
1,422,16.2498749527,99.6903920821
1,423,16.2584889535,99.6874359678
1,424,16.2671945565,99.6847674509
1,425,16.275940613299998,99.6822281388
1,426,16.2840788728,99.6783499255
1,427,16.2916341129,99.6732645701
1,428,16.299184514100002,99.6681720225
1,428,16.299184514100002,99.6681720225
1,429,16.306747584300002,99.6630983983
1,430,16.314336346199998,99.6580666326
